Year,State,Population ('000),GDP
2015,Johor,3610.3,110002
2016,Johor,3651.8,39550
2017,Johor,3697,21408
2018,Johor,3749.4,36077
2019,Johor,3761.2,40186
2020,Johor,4009.7,49450
2021,Johor,4020,63176
2022,Johor,4028.3,5353
2023,Johor,4107.2,78146
2024,Johor,4184.4,73776
2015,Kedah,2096.5,121585
2016,Kedah,2119.7,268825
2017,Kedah,2143.9,31124
2018,Kedah,2163,180865
2019,Kedah,2173.7,5999
2020,Kedah,2131.4,116682
2021,Kedah,2151.7,41156
2022,Kedah,2163.1,22476
2023,Kedah,2189.3,37713
2024,Kedah,2217.1,41771
2015,Kelantan,1760.6,50875
2016,Kelantan,1796.7,65958
2017,Kelantan,1829,5570
2018,Kelantan,1860.5,82493
2019,Kelantan,1883.8,77518
2020,Kelantan,1792.5,124513
2021,Kelantan,1812.3,281839
2022,Kelantan,1830.6,32133
2023,Kelantan,1859.8,191641
2024,Kelantan,1887.9,6412
2015,Melaka,889,123561
2016,Melaka,901.1,43067
2017,Melaka,913.1,23501
2018,Melaka,922.4,40830
2019,Melaka,928.4,43816
2020,Melaka,998.4,54591
2021,Melaka,1004.5,69337
2022,Melaka,1008.6,5695
2023,Melaka,1028.3,86768
2024,Melaka,1046.7,83793
2015,Negeri Sembilan,1088.8,130169
2016,Negeri Sembilan,1099.3,302186
2017,Negeri Sembilan,1114,33979
2018,Negeri Sembilan,1122.9,206175
2019,Negeri Sembilan,1126.2,6790
2020,Negeri Sembilan,1200,130586
2021,Negeri Sembilan,1204.2,44804
2022,Negeri Sembilan,1207.9,24143
2023,Negeri Sembilan,1224.9,42376
2024,Negeri Sembilan,1239.5,45694
2015,Pahang,1607.9,56290
2016,Pahang,1626.7,73031
2017,Pahang,1647,5885
2018,Pahang,1664.7,91234
2019,Pahang,1671.4,85012
2020,Pahang,1591.3,133010
2021,Pahang,1601.5,323215
2022,Pahang,1614.3,34838
2023,Pahang,1643.2,220359
2024,Pahang,1667.7,7245
2015,Perak,2466.9,134226
2016,Perak,2482.1,46841
2017,Perak,2493.2,25479
2018,Perak,2503.5,43583
2019,Perak,2508.8,48034
2020,Perak,2496,58434
2021,Perak,2515.8,75993
2022,Perak,2514.4,6151
2023,Perak,2541.2,94645
2024,Perak,2569.4,85642
2015,Perlis,248.5,136759
2016,Perlis,251,345008
2017,Perlis,252,36001
2018,Perlis,253.5,233794
2019,Perlis,254,7623
2020,Perlis,284.9,128074
2021,Perlis,287.6,46042
2022,Perlis,289.8,25188
2023,Perlis,293.1,41030
2024,Perlis,296.8,46336
2015,Pulau Pinang,1698.1,54885
2016,Pulau Pinang,1717.7,74264
2017,Pulau Pinang,1744.1,5785
2018,Pulau Pinang,1762.8,92691
2019,Pulau Pinang,1768.8,77840
2020,Pulau Pinang,1740.4,127556
2021,Pulau Pinang,1740,326805
2022,Pulau Pinang,1740.9,33994
2023,Pulau Pinang,1772.6,217447
2024,Pulau Pinang,1800.5,7613
2015,Sabah,3720.5,131243
2016,Sabah,3802.8,47505
2017,Sabah,3855.9,25782
2018,Sabah,3898.4,41872
2019,Sabah,3904.4,47787
2020,Sabah,3418.8,55440
2021,Sabah,3412.6,76901
2022,Sabah,3414.9,5867
2023,Sabah,3596.7,99124
2024,Sabah,3742,79000
2015,Sarawak,2701.5,131594
2016,Sarawak,2738.7,344103
2017,Sarawak,2766.3,35236
2018,Sarawak,2791.7,219884
2019,Sarawak,2806,7650
2020,Sarawak,2453.7,142734
2021,Sarawak,2465.6,51031
2022,Sarawak,2473.5,26965
2023,Sarawak,2502.3,45590
2024,Sarawak,2517.5,50962
2015,Selangor,6178,61844
2016,Selangor,6291.5,80474
2017,Selangor,6380.7,6216
2018,Selangor,6475,112355
2019,Selangor,6506.1,82176
2020,Selangor,6994.4,140917
2021,Selangor,7014.7,385809
2022,Selangor,7050.3,37392
2023,Selangor,7209.7,241185
2024,Selangor,7362.7,7980
2015,Terengganu,1161,148554
2016,Terengganu,1183.4,51877
2017,Terengganu,1208,27658
2018,Terengganu,1228.3,46850
2019,Terengganu,1244.5,51912
2020,Terengganu,1149.4,64967
2021,Terengganu,1170.7,82638
2022,Terengganu,1186.6,6338
2023,Terengganu,1210,115952
2024,Terengganu,1231.5,83363
2015,W.P. Kuala Lumpur,1780.4,142704
2016,W.P. Kuala Lumpur,1789.7,406623
2017,W.P. Kuala Lumpur,1793.2,38219
2018,W.P. Kuala Lumpur,1790,250267
2019,W.P. Kuala Lumpur,1782.5,8123
2020,W.P. Kuala Lumpur,1982.1,158017
2021,W.P. Kuala Lumpur,1964,54036
2022,W.P. Kuala Lumpur,1961.2,28651
2023,W.P. Kuala Lumpur,2005.7,48929
2024,W.P. Kuala Lumpur,2067.5,54322
2015,W.P. Labuan,95.1,68669
2016,W.P. Labuan,96.8,86239
2017,W.P. Labuan,97.6,6549
2018,W.P. Labuan,99,121496
2019,W.P. Labuan,99.3,84303
2020,W.P. Labuan,95.1,148200
2021,W.P. Labuan,96,432116
2022,W.P. Labuan,96.9,39922
2023,W.P. Labuan,99,265758
2024,W.P. Labuan,100.8,8559
