State,Icon
Johor,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/jhr.svg
Kedah,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/kdh.svg
Kelantan,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/ktn.svg
Melaka,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/mlk.svg
Negeri Sembilan,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/nsn.svg
Pahang,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/phg.svg
Pulau Pinang,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/png.svg
Perak,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/prk.svg
Perlis,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/pls.svg
Selangor,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/sgr.svg
Terengganu,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/trg.svg
Sabah,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/sbh.svg
Sarawak,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/swk.svg
WP Kuala Lumpur,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/kul.svg
WP Labuan,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/lbn.svg
